ngram,count
嘅,393491
係,271003
一,184962
同,159472
年,158519
喺,148710
個,130982
有,118614
國,118238
人,112142
中,99693
大,98611
佢,73859
會,73307
以,72175
到,69806
咗,68423
月,61514
出,61448
學,60202
港,56206
為,56109
成,55910
後,55818
之,55557
地,54553
時,54116
而,52855
一個,52326
用,51367
呢,50384
面,49957
都,49942
上,49908
號,49480
香,49260
法,47562
日,47178
過,46568
文,46481
唔,46224
香港,46103
家,45713
區,45633
主,45277
就,45135
入,44702
公,43510
做,43482
由,42173
市,41522
名,41396
好,40679
行,40328
東,40324
多,39975
可,39772
第,39222
位,39029
間,38149
生,38072
本,37999
開,37323
廣,37040
電,36617
路,36462
南,36397
啲,36279
員,36266
方,36263
經,35282
西,35157
分,34730
民,34585
發,34053
要,33793
數,33214
埋,32531
度,31585
作,30957
政,30886
自,30800
部,30787
道,29983
代,29976
最,29913
加,29595
新,29259
重,29159
可以,29103
嚟,28966
嗰,28522
亦,27897
下,27832
場,27167
動,27099
者,27044
種,26899
北,26614
於,26234
話,26134
所,26101
等,26101
三,26089
其,25946
字,25859
海,25798
球,25607
音,25099
物,25062
長,25045
去,24822
中國,24807
前,24785
對,24702
山,24582
英,24523
同埋,24523
站,24512
世,24472
車,24432
因,23981
叫,23688
斯,23639
州,23507
馬,23505
當,23482
理,23208
通,23132
高,23024
演,22892
嘅一個,22810
子,22563
得,22292
但,21857
兩,21725
定,21543
亞,21400
美,21371
來,21163
表,21050
外,20962
立,20836
又,20826
或,20704
期,20692
事,20632
機,20568
響,20370
二,20345
至,20176
條,20174
十,20126
士,20087
工,19875
手,19873
體,19831
化,19788
合,19753
平,19721
全,19713
指,19684
式,19683
水,19653
教,19604
現,19433
華,19384
將,19371
天,19055
置,19035
司,19018
起,18986
日本,18864
歌,18803
力,18760
之後,18711
業,18663
樂,18662
特,18502
選,18482
視,18474
界,18269
住,18235
語,17952
口,17937
入面,17918
鎮,17901
利,17868
門,17808
如,17745
台,17643
原,17480
共,17262
女,17148
頭,17122
爾,16917
城,16895
不,16814
無,16775
小,16771
邊,16720
軍,16663
總,16613
府,16571
次,16441
影,16278
呢個,16201
始,16086
目,16075
灣,16014
科,15879
心,15845
能,15706
點,15651
建,15511
運,15473
關,15379
比,15369
改,15361
星,15243
意,15219
四,15169
巴,15152
明,15126
畀,15103
先,15074
金,15073
阿,15057
統,15031
設,15011
基,14943
正,14912
德,14884
相,14833
內,14821
然,14618
拉,14565
任,14433
性,14416
位置喺,14350
開始,14129
變,14103
計,14066
常,14061
洲,13902
向,13893
萬,13883
院,13719
組,13682
安,13659
首,13567
王,13562
線,13492
議,13434
及,13428
直,13423
程,13369
果,13367
係一,13364
傳,13319
聯,13295
節,13290
係法國嘅一個市鎮,13223
足,13200
包,13181
交,13142
仔,13081
務,13035
賽,12973
色,12929
單,12918
例,12894
幾,12839
產,12829
好多,12806
廣東,12791
實,12756
九,12752
屬,12709
係香港,12689
廣州,12672
里,12465
羅,12448
少,12418
系,12417
因為,12408
島,12385
龍,12345
身,12318
所以,12315
史,12279
被,12235
古,12178
陣,12176
打,12139
五,12130
藝,12109
講,12028
隊,12014
電視,12007
治,11949
冇,11906
角,11905
和,11818
形,11817
哋,11801
書,11738
或者,11721
遊,11720
黃,11689
結,11673
花,11565
元,11548
政府,11476
細,11463
稱,11453
量,11444
約,11402
類,11381
品,11308
令,11285
接,11272
美國,11260
提,11220
集,11211
第一,11204
戰,11193
噉,11132
校,11129
蘭,11125
即,11121
太,11105
流,11097
街,11085
黨,11029
舉,11008
鐵,10993
園,10966
咁,10949
林,10932
嘢,10927
進,10919
公司,10917
尼,10827
樣,10781
制,10760
紀,10679
沙,10677
參,10671
受,10645
帶,10629
其中,10604
米,10582
近,10571
神,10541
佢哋,10528
張,10521
劇,10496
足球,10466
應,10401
江,10390
義,10342
唱,10340
展,10290
曲,10262
係日本,10216
件,10183
並,10171
網,10136
反,10053
食,10032
風,10021
似,9968
播,9946
寫,9870
專,9837
省,9823
持,9782
綫,9742
返,9714
別,9688
落,9683
主要,9663
資,9659
列,9640
情,9584
戲,9576
達,9543
縣,9462
社,9456
商,9451
已,9433
河,9383
格,9379
職,9378
收,9377
每,9374
都係,9360
聲,9358
樓,9348
級,9344
保,9284
再,9279
份,9256
解,9186
澳,9148
代表,9142
六,9138
片,9120
括,9107
男,9088
連,9066
歷,9061
白,9056
論,9032
記,9003
隻,8992
英文,8987
客,8985
嗰陣,8950
曾,8918
從,8898
轉,8890
石,8879
氣,8869
清,8818
世界,8790
各,8773
的,8763
活,8748
型,8728
知,8725
克,8714
言,8712
局,8698
包括,8698
導,8679
權,8676
他,8659
老,8625
報,8600
初,8536
而家,8524
光,8431
調,8413
維,8408
俾,8388
攞,8359
認,8347
一種,8336
奧,8301
李,8286
空,8270
京,8251
官,8239
族,8210
係中國,8200
朝,8194
另,8149
百,8132
題,8112
八,8096
獎,8094
唔同,8075
處,8068
研,8065
母,8046
環,8022
管,8013
製,7978
團,7978
搞,7974
放,7884
大學,7840
村,7820
整,7805
排,7795
波,7786
服,7747
支,7738
死,7727
電影,7702
漢,7691
版,7655
就係,7608
際,7604
陸,7593
節目,7591
但係,7589
之間,7587
示,7555
見,7554
究,7543
圍,7535
在,7519
辦,7487
地區,7465
畫,7453
己,7443
班,7442
創,7436
佢嘅,7433
據,7393
簡,7388
術,7386
效,7381
屋,7366
領,7336
育,7312
段,7301
圖,7301
信,7293
只,7244
派,7214
皇,7208
臺,7192
座,7180
師,7177
睇,7141
研究,7113
卡,7111
自己,7098
人口,7091
積,7080
國家,7072
委,7042
第二,7023
英國,6991
布,6973
越,6956
引,6940
例如,6898
決,6868
觀,6860
紅,6855
歌手,6852
讀,6843
不過,6835
陳,6817
想,6803
音樂,6782
問,6755
由於,6751
醫,6704
質,6685
推,6684
其他,6679
使,6650
田,6648
造,6644
帝,6623
愛,6583
時間,6574
詞,6566
標,6560
離,6537
